name,team,position,price,predicted_score,long_term_value_rating
Mohamed Salah,Liverpool,mf,13.1,6.77,100.0
Erling Haaland,Man City,st,14.0,6.4,99.0
Bukayo Saka,Arsenal,mf,8.8,5.15,78.0
Kieran Trippier,Newcastle,df,7.0,5.21,81.0
Martin Ødegaard,Arsenal,mf,8.3,4.96,75.0
Heung-Min Son,Spurs,mf,9.6,5.41,82.0
Bruno Borges Fernandes,Man Utd,mf,8.3,5.09,77.0
Bryan Mbeumo,Brentford,mf,7.1,4.11,62.0
Trent Alexander-Arnold,Liverpool,df,7.9,5.27,75.0
Darwin Núñez Ribeiro,Liverpool,st,7.6,4.13,55.00000000000001
Ollie Watkins,Aston Villa,st,8.5,4.45,79.0
Dominic Solanke,Bournemouth,st,6.5,4.02,64.0
Anthony Gordon,Newcastle,mf,5.9,4.14,65.0
Dejan Kulusevski,Spurs,mf,7.0,4.09,60.0
Gabriel Martinelli Silva,Arsenal,mf,7.8,4.03,60.0
Matheus Santos Carneiro Da Cunha,Wolves,st,5.5,3.94,54.0
Leandro Trossard,Arsenal,mf,6.5,4.34,64.0
William Saliba,Arsenal,df,5.5,4.1,59.0
Virgil van Dijk,Liverpool,df,6.1,4.44,63.0
Hwang Hee-chan,Wolves,mf,5.6,3.82,53.0
Konstantinos Tsimikas,Liverpool,df,4.8,3.66,50.0
Bernd Leno,Fulham,gk,4.7,3.94,56.99999999999999
Luis Díaz,Liverpool,mf,7.4,3.92,53.0
Phil Foden,Man City,mf,7.5,3.76,60.0
Jarrod Bowen,West Ham,mf,7.6,4.09,69.0
André Onana,Man Utd,gk,4.8,3.58,54.0
Nick Pope,Newcastle,gk,5.5,3.85,60.0
Jérémy Doku,Man City,mf,6.8,3.49,55.00000000000001
Alexander Isak,Newcastle,st,7.5,3.61,56.00000000000001
Pascal Groß,Brighton,mf,6.3,3.16,51.0
Odsonne Edouard,Crystal Palace,st,5.5,3.31,46.0
James Ward-Prowse,West Ham,mf,6.2,3.46,59.0
Morgan Gibbs-White,Nott'm Forest,mf,5.7,3.54,56.00000000000001
Diogo Dalot Teixeira,Man Utd,df,5.0,3.52,53.0
Marcus Tavernier,Bournemouth,mf,5.4,3.72,57.99999999999999
Miguel Almirón,Newcastle,mf,6.2,3.43,54.0
Fabian Schär,Newcastle,df,5.2,3.32,51.0
Julián Álvarez,Man City,st,7.0,3.73,60.0
Marcus Rashford,Man Utd,mf,8.6,3.81,57.99999999999999
Pedro Porro,Spurs,df,5.3,3.92,56.99999999999999
